Payments to suppliers over £500 - January 2026,,,,,,,,
,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Account,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Energy efficiency measures,X95010,Housing & Community Safety HRA Capital,C10850,07/01/2026,21042747,"2,500.00",RETROFIT & COORDINATION LTD
Norwich City Council,Exp on Grants,X90010,Housing & Community Safety GF Capital,C12500,07/01/2026,21043479,"6,912.33",JKA HOME SOLUTIONS
Norwich City Council,General Repairs & Mtce,160000,Open Spaces,A20300,07/01/2026,21042655,950,PREMIER PLAYGROUNDS LTD
Norwich City Council,HRA Stock Condition Survey,X95010,Housing & Community Safety HRA Capital,C10350,07/01/2026,21042587,"2,550.00",ELLISTON CONSULTANCY SERVICES LTD
Norwich City Council,IT Services - Contract Charge,321025,IT Infrastructure,A50400,07/01/2026,21042813,723.3,PHOENIX SOFTWARE LTD
Norwich City Council,Other Hired & Contracting Services,431020,Street Cleansing,A51200,07/01/2026,21042723,"4,500.00",BEN WILLIS COMMERCIAL LANDSCAPING LTD
Norwich City Council,Other Hired & Contracting Services,431020,Street Cleansing,A51200,07/01/2026,21042723,"4,950.00",BEN WILLIS COMMERCIAL LANDSCAPING LTD
Norwich City Council,Rates,643040,Multi-Storey Car Parks,A29700,07/01/2026,21043150,882.04,SAVILLS (UK) LTD
Norwich City Council,Water Mains Renewal 90/91,730020,HRA Repairs,A24700,07/01/2026,21042693,947.1,UTILISE (UTILITY CONTRACTING) LTD
Norwich City Council,Water Mains Renewal 90/91,730020,HRA Repairs,A24700,07/01/2026,21042690,"1,279.30",UTILISE (UTILITY CONTRACTING) LTD
Norwich City Council,Water Mains Renewal 90/91,730020,HRA Repairs,A24700,07/01/2026,21042691,"1,804.99",UTILISE (UTILITY CONTRACTING) LTD
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043021,558.45,INDEPENDENT WATER NETWORKS LIMITED
