Payments to suppliers over £500 - January 2026,,,,,,,,
,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Account,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Postages,550040,Customer Support Team,A40800,19/01/2026,21043803,"1,384.98",ROYAL MAIL GROUP PLC
Norwich City Council,Solar Therml/Photovoltaic,X95010,Housing & Community Safety HRA Capital,C10900,19/01/2026,21043975,611,IMPACT RENEWABLES LTD
Norwich City Council,Solar Therml/Photovoltaic,X95010,Housing & Community Safety HRA Capital,C10900,19/01/2026,21043984,611,IMPACT RENEWABLES LTD
Norwich City Council,Dilapidation,220000,Investment Properties,A20400,20/01/2026,21043776,"1,545.00",BULLEYS BRADBURY LTD
Norwich City Council,Disabled Adaptations,X95010,Housing & Community Safety HRA Capital,C11900,20/01/2026,21044123,"5,793.67",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Disabled Adaptations,X95010,Housing & Community Safety HRA Capital,C11900,20/01/2026,21044946,"7,028.76",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,General Repairs & Mtce,410040,Private Sector Leasing Scheme,A20300,20/01/2026,21044371,564.95,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,General Repairs & Mtce,410040,Private Sector Leasing Scheme,A20300,20/01/2026,21043933,592.7,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,20/01/2026,21043672,"1,500.00",REDACTED PERSONAL DATA
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,20/01/2026,21044254,"35,710.00",TETRA TECH CONSULTING LIMITED
Norwich City Council,Other Hired & Contracting Services,431080,Integrated Waste Management,A51200,20/01/2026,21043709,"1,442.03",TMA BARK SUPPLIES LIMITED
Norwich City Council,Promotions and Events,620046,East Norwich Programme Mngmnt,A40700,20/01/2026,21044060,"5,000.00",NORFOLK COUNTY COUNCIL
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,20/01/2026,22010171,530.04,REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,20/01/2026,22010179,600,REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,20/01/2026,22010181,700,REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,20/01/2026,22010176,707.65,REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,20/01/2026,22010236,862.22,REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,20/01/2026,22010173,914.32,REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,20/01/2026,22010172,"1,224.15",REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,20/01/2026,22010182,"1,756.00",REDACTED PERSONAL DATA
Norwich City Council,Advertising General,740080,Rents - Shops & Shop Flats,A41600,21/01/2026,21044110,675,RIGHTMOVE GROUP LIMITED
Norwich City Council,Agency Supply Staff,710090,Housing Property Services,A11300,21/01/2026,21044501,750,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,550010,Customer Contact Team,A11300,21/01/2026,21043866,767.01,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,550010,Customer Contact Team,A11300,21/01/2026,21043869,767.01,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,550010,Customer Contact Team,A11300,21/01/2026,21043870,767.01,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,516050,Revs & bens admin,A11300,21/01/2026,21044146,940.5,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,321025,IT Infrastructure,A11300,21/01/2026,21043812,"1,800.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,550010,Customer Contact Team,A11300,21/01/2026,21043864,"2,125.33",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,710090,Housing Property Services,A11300,21/01/2026,21044496,"3,240.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,516050,Revs & bens admin,A11300,21/01/2026,21043863,"3,403.59",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,710090,Housing Property Services,A11300,21/01/2026,21044498,"3,530.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,550080,Corporate Business Services,A11300,21/01/2026,21043862,"3,602.50",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,710090,Housing Property Services,A11300,21/01/2026,21044503,"3,750.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Disrepair Costs,710090,Housing Property Services,A45120,21/01/2026,21043774,"6,744.57",DRISCOLL KINGSTON AND CO LIMITED
Norwich City Council,Exp on Grants,X90010,Housing & Community Safety GF Capital,C12500,21/01/2026,21043945,"5,824.80",ARK PROPERTY SERVICES LTD
Norwich City Council,Exp on Grants,X90010,Housing & Community Safety GF Capital,C12500,21/01/2026,21044490,"6,906.00",GASWISE SERVICES LTD
Norwich City Council,Grants - Main ex SLA's,310060,Social Policy/Arts Grants,A46300,21/01/2026,21043949,"5,000.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Heating/Boilers Domestic,X95010,Housing & Community Safety HRA Capital,C10700,21/01/2026,21043940,"5,773.00",HES M&E SERVICES LIMITED
Norwich City Council,HRA Stock Condition Survey,X95010,Housing & Community Safety HRA Capital,C10350,21/01/2026,21043842,"4,560.00",ELLISTON CONSULTANCY SERVICES LTD
Norwich City Council,Inspection (Electrical Equipt),730020,HRA Repairs,A42600,21/01/2026,21044417,"30,468.05",GASWAY SERVICES LTD
Norwich City Council,Insurance - Settlements,512010,Insurance,A29550,21/01/2026,21043790,"40,002.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,IT Services - Contract Charge,321025,IT Infrastructure,A50400,21/01/2026,21043861,"3,842.84",PHOENIX SOFTWARE LTD
Norwich City Council,IT Software Purchase,644050,On Street Operations,A41400,21/01/2026,21044155,725.8,FLOWBIRD SMART CITY UK LTD
Norwich City Council,IT Software Purchase,644050,On Street Operations,A41400,21/01/2026,21043907,"1,023.75",FLOWBIRD SMART CITY UK LTD
Norwich City Council,IT Software Purchase,643020,Off Street Car Parks,A41400,21/01/2026,21044155,"3,927.49",FLOWBIRD SMART CITY UK LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,21/01/2026,21043809,"2,133.16",CAVALIER MAILING SERVICES
Norwich City Council,Purchase of Equipment,421040,Fringe Project,A42700,21/01/2026,21044039,"2,766.46",BEN BURGESS GROUNDSCARE EQT
Norwich City Council,Variations to Database,431080,Integrated Waste Management,A51000,21/01/2026,21043885,"1,611.54",BIFFA MUNICIPAL LIMITED
Norwich City Council,Agency Supply Staff,515030,Operational Finance,A11300,22/01/2026,21043923,973.49,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Gas Cent Heating Repairs C Wks,730020,HRA Repairs,A23600,22/01/2026,21043953,"149,715.37",GASWAY SERVICES LTD
Norwich City Council,Kitchens,X95010,Housing & Community Safety HRA Capital,C10400,22/01/2026,21044005,"152,161.46",GASWAY SERVICES LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,22/01/2026,21043845,"1,000.00",REDACTED PERSONAL DATA
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,22/01/2026,21043886,"470,159.00",DSM DEMOLITION LTD
Norwich City Council,Other Hired & Contracting Services,510050,Professional Finance,A51200,22/01/2026,21043915,706.2,AVC WISE LTD T/A MY MONEY MATTERS
Norwich City Council,Promotions and Events,620046,East Norwich Programme Mngmnt,A40700,22/01/2026,21044062,"5,000.00",NORFOLK COUNTY COUNCIL
Norwich City Council,Purchase of Equipment,421040,Fringe Project,A42700,22/01/2026,21043939,"9,261.00",BEN BURGESS GROUNDSCARE EQT
Norwich City Council,Structural Repairs,730020,HRA Repairs,A22800,22/01/2026,21044673,"1,222.50",HARRISON GROUP ENVIRONMENTAL LTD
Norwich City Council,Structural Repairs,730020,HRA Repairs,A22800,22/01/2026,21044673,"5,259.00",HARRISON GROUP ENVIRONMENTAL LTD
Norwich City Council,Subscriptions (non staff),510050,Professional Finance,A45700,22/01/2026,21043851,"2,345.00",LAVAT CONSULTING LTD T/A PSTAX
Norwich City Council,Whole House Improvements,X95010,Housing & Community Safety HRA Capital,C10300,22/01/2026,21044003,"3,936.82",GASWAY SERVICES LTD
Norwich City Council,Whole House Improvements,X95010,Housing & Community Safety HRA Capital,C10300,22/01/2026,21044003,"23,632.99",GASWAY SERVICES LTD
Norwich City Council,Bathrooms,X95010,Housing & Community Safety HRA Capital,C10500,23/01/2026,21043990,"176,011.44",GASWAY SERVICES LTD
Norwich City Council,Exp on Grants,X90010,Housing & Community Safety GF Capital,C12500,23/01/2026,21045062,"1,674.68",UNIQUE ADAPTATIONS LIMITED
Norwich City Council,Gas Cent Heating Repairs C Wks,730020,HRA Repairs,A23600,23/01/2026,21043941,"2,101.98",GASWAY SERVICES LTD
Norwich City Council,Gas Cent Heating Repairs C Wks,730020,HRA Repairs,A23600,23/01/2026,21043954,"8,900.60",GASWAY SERVICES LTD
Norwich City Council,General Repairs,730020,HRA Repairs,A23000,23/01/2026,21043992,"541,666.67",NORWICH CITY SERVICES LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,23/01/2026,21043959,570,REDACTED PERSONAL DATA
Norwich City Council,New Constructn/Convrsn/Renovtn,X90050,Environment Services GF Capital,C10100,23/01/2026,21043966,"5,952.29",SOUTHERN GREEN LIMITED
Norwich City Council,New Constructn/Convrsn/Renovtn,X90050,Environment Services GF Capital,C10100,23/01/2026,21043967,"12,490.62",SOUTHERN GREEN LIMITED
Norwich City Council,Other Hired & Contracting Services,514010,Internal Audit,A51200,23/01/2026,21043963,"25,110.75",SOUTH NORFOLK DISTRICT COUNCIL
Norwich City Council,Schedule of Rates/Dayworks,721020,Estates Management,A24000,23/01/2026,21043950,559.3,NORWICH CITY SERVICES LTD
Norwich City Council,Variations to Database,431080,Integrated Waste Management,A51000,23/01/2026,21044049,"1,974.36",BIFFA MUNICIPAL LIMITED
Norwich City Council,Variations to Database,431080,Integrated Waste Management,A51000,23/01/2026,21044049,"2,234.61",BIFFA MUNICIPAL LIMITED
Norwich City Council,Void Repairs,730080,HRA Repairs - Void Properties,A23100,23/01/2026,21043995,"375,000.00",NORWICH CITY SERVICES LTD
Norwich City Council,Heating/Boilers Domestic,X95010,Housing & Community Safety HRA Capital,C10700,25/01/2026,21043996,"108,344.69",DODD GROUP (EASTERN) LTD
Norwich City Council,Projects,610010,Economic Development Unit,A49300,25/01/2026,21044119,"1,500.00",THE LIVELY CREW LIMITED
Norwich City Council,Agency Supply Staff,516050,Revs & bens admin,A11300,26/01/2026,21044126,"1,197.92",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,515010,NNDR Admin,A11300,26/01/2026,21044126,"1,281.76",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,410010,Private Sector Housing,A11300,26/01/2026,21044111,"1,739.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,321025,IT Infrastructure,A11300,26/01/2026,21044109,"2,069.10",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,710250,Housing Delivery,A11300,26/01/2026,21043998,"2,700.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,515010,NNDR Admin,A11300,26/01/2026,21044133,"2,892.96",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,515010,NNDR Admin,A11300,26/01/2026,21044135,"3,512.88",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,640235,Strategic Asset Management,A11300,26/01/2026,21044847,"5,179.40",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010297,510.44,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010278,578.39,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010436,578.52,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010437,578.52,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010414,585.51,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010349,586.93,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010472,591.72,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010383,595.33,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010430,603.89,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010261,604.53,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010282,610.99,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010286,610.99,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010335,611.94,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010313,612.07,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010337,615.38,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010267,616.65,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010296,617.7,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010420,619.95,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010422,619.95,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010423,619.95,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010301,622.7,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010268,627.22,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010270,630.4,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010365,630.4,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010415,630.4,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010277,636.31,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010290,637.27,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010345,637.27,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010390,637.28,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010379,638.11,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010264,638.24,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010293,638.24,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010348,638.24,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010362,638.24,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010384,638.24,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010334,639.08,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010336,639.08,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010355,639.08,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010274,639.09,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010287,642.67,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010359,644.92,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010339,645.76,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010332,645.89,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010474,650.89,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010360,655.02,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010273,656.38,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010367,656.38,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010351,657.5,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010320,660.28,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010425,661.29,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010257,667.27,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010412,667.27,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010245,668.59,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010276,673.63,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010393,673.74,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010269,673.92,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010363,673.92,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010369,673.92,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010326,675.85,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010479,680.47,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010465,686.39,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010469,686.39,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010321,689.08,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010342,690.89,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010382,690.89,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010368,691.66,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010371,696.9,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010380,703.8,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010381,705.61,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010438,707.08,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010439,707.08,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010305,708.22,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010283,711.55,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010298,721.03,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010386,721.03,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010307,722.89,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010418,723.29,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010356,730.71,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010265,730.92,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010463,734.63,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010255,738.99,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010263,738.99,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010405,740.85,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010387,741.11,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010353,743.68,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010266,745.66,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010312,746.72,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010284,746.79,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010329,746.79,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010357,746.79,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010270,750,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010441,752.07,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010291,755.79,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010429,757.73,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010373,759.93,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010272,760,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010347,764.2,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010256,768.13,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010462,771.36,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010432,772.53,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010402,777.88,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010403,777.88,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010410,777.88,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010411,777.88,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010338,780.33,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010319,780.4,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010303,786.58,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010323,787.21,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010391,787.21,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010394,787.21,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010398,787.21,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010395,790.64,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010434,790.64,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010325,795.85,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010350,798.82,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010482,798.82,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010314,803.35,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010318,803.35,REDACTED PERSONAL DATA
